model,parameters,epochs_run,best_epoch,auc_roc,auc_pr,accuracy_at_0.5,precision_default_at_0.5,recall_default_at_0.5,f1_default_at_0.5,tuned_threshold,accuracy_tuned,precision_default_tuned,recall_default_tuned,f1_default_tuned,balanced_accuracy_tuned,tp_tuned,fp_tuned,tn_tuned,fn_tuned,train_rows,test_rows
LogisticNN,137,42,34,0.7880920757552351,0.16177923450992202,0.7365551618053663,0.13327407002188185,0.6950784593437945,0.22366307092035806,0.6199999999999998,0.8202032789438841,0.1620058873002523,0.5495720399429387,0.25024358557973364,0.6927021545844776,1541,7971,40583,1263,164346,51358
MLP,10881,60,57,0.8024817927031784,0.17752582981273526,0.679329413139141,0.12332543139092562,0.7977888730385164,0.21362746502411303,0.7099999999999997,0.8536936796604229,0.178366566511882,0.4657631954350927,0.25794983211534667,0.6709299562461949,1306,6016,42538,1498,164346,51358
DeepMLP,28673,41,33,0.8021193273227796,0.18295773376612925,0.6670041668289264,0.11908567774936062,0.7970756062767475,0.20721305395883555,0.7499999999999997,0.8678102729857081,0.19017260146167003,0.43616262482168333,0.26486193827828913,0.6644503036371052,1223,5208,43346,1581,164346,51358
