model,epoch,loss,val_loss,pr_auc,val_pr_auc,roc_auc,val_roc_auc
LogisticNN,1,1.3032934665679932,0.5950591564178467,0.12256506085395813,0.14339660108089447,0.686255693435669,0.7463620901107788
LogisticNN,2,1.1100962162017822,0.5878435373306274,0.15374907851219177,0.1482163667678833,0.7578333020210266,0.7586895227432251
LogisticNN,3,1.0938084125518799,0.5838499665260315,0.15784573554992676,0.15027497708797455,0.7682946920394897,0.7672833204269409
LogisticNN,4,1.0825339555740356,0.581846296787262,0.15919160842895508,0.15116189420223236,0.775498628616333,0.7731188535690308
LogisticNN,5,1.0745849609375,0.5811122059822083,0.1596943736076355,0.1516394168138504,0.780394434928894,0.7770014405250549
LogisticNN,6,1.0692265033721924,0.5811113119125366,0.1599007397890091,0.1519118994474411,0.7835737466812134,0.7795509099960327
LogisticNN,7,1.0655503273010254,0.5815195441246033,0.15980283915996552,0.15180400013923645,0.7856911420822144,0.7812410593032837
LogisticNN,8,1.0630005598068237,0.5821123719215393,0.15960213541984558,0.15163706243038177,0.7871972322463989,0.7824071645736694
LogisticNN,9,1.061252474784851,0.5827478170394897,0.15963715314865112,0.15185758471488953,0.788276731967926,0.7833061218261719
LogisticNN,10,1.060032606124878,0.5833514332771301,0.15948763489723206,0.15150773525238037,0.7890266180038452,0.7839134335517883
LogisticNN,11,1.056115746498108,0.5685316920280457,0.16033925116062164,0.15281279385089874,0.7912238836288452,0.785843014717102
LogisticNN,12,1.055359125137329,0.5690065026283264,0.16052892804145813,0.1529327929019928,0.7917365431785583,0.7861162424087524
LogisticNN,13,1.0550072193145752,0.56941819190979,0.1604459285736084,0.1529240906238556,0.7918999195098877,0.78630131483078
LogisticNN,14,1.0547187328338623,0.5697913765907288,0.16053152084350586,0.1527847796678543,0.7921128273010254,0.7864580154418945
LogisticNN,15,1.0544698238372803,0.5701271891593933,0.16042041778564453,0.15278148651123047,0.792293131351471,0.786591649055481
LogisticNN,16,1.0542519092559814,0.5704265236854553,0.16036993265151978,0.1528688222169876,0.7924153208732605,0.7868118286132812
LogisticNN,17,1.0523247718811035,0.5628615021705627,0.1608685553073883,0.15338508784770966,0.7934873104095459,0.787369966506958
LogisticNN,18,1.0520566701889038,0.5629526972770691,0.16091734170913696,0.15334755182266235,0.7936465740203857,0.7873822450637817
LogisticNN,19,1.0519497394561768,0.5629982352256775,0.16091130673885345,0.15336088836193085,0.7937094569206238,0.7874556183815002
LogisticNN,20,1.051859974861145,0.5630296468734741,0.16090911626815796,0.15338492393493652,0.7937717437744141,0.7875186800956726
LogisticNN,21,1.0517781972885132,0.5630537271499634,0.16086755692958832,0.1533799171447754,0.7938281297683716,0.7875453233718872
LogisticNN,22,1.0507696866989136,0.5635169148445129,0.1611471027135849,0.15361255407333374,0.794409453868866,0.7874417901039124
LogisticNN,23,1.0506629943847656,0.5635005831718445,0.1612284928560257,0.15366950631141663,0.7944427728652954,0.7874832153320312
LogisticNN,24,1.0506157875061035,0.5634954571723938,0.1611967384815216,0.1537066400051117,0.7944560647010803,0.7875270247459412
LogisticNN,25,1.050575613975525,0.563486635684967,0.16116797924041748,0.1536586731672287,0.7944825291633606,0.7875428199768066
LogisticNN,26,1.0505380630493164,0.5634769201278687,0.16113612055778503,0.15367236733436584,0.7944968938827515,0.787523627281189
LogisticNN,27,1.0500012636184692,0.5668908953666687,0.16127397119998932,0.15381976962089539,0.7948843240737915,0.7874424457550049
LogisticNN,28,1.0499414205551147,0.566780686378479,0.16130420565605164,0.15383566915988922,0.7948158383369446,0.7874356508255005
LogisticNN,29,1.0499191284179688,0.5667601823806763,0.1613163948059082,0.15387850999832153,0.7948318719863892,0.7874438762664795
LogisticNN,30,1.0499001741409302,0.5667551159858704,0.16131940484046936,0.15381881594657898,0.7948414087295532,0.7874231934547424
