feature,importance
int_rate,0.15526544582241317
int_rate_x_term,0.1116986250412739
bureau_data_missing,0.07775391624413704
grade_ord,0.04531473817653921
tot_cur_bal,0.037572666275164035
installment_to_income,0.03520222918309542
total_rev_hi_lim,0.03456569787661601
annual_inc,0.03294623200162675
bal_to_limit,0.03169664103193587
inq_last_6mths,0.026885819907921608
loan_to_income,0.025357820388637802
credit_history_years,0.025172063808718007
revol_util_x_dti,0.02161210293597935
dti,0.021312902980675508
revol_util,0.021074628324951522
revol_bal,0.018899918525474593
loan_amnt,0.018517307052827215
total_acc,0.01819723047775901
open_to_total_acc,0.017908820903250307
installment,0.01787079841780842
