model,auc_roc,auc_pr,accuracy_at_0.5,precision_default_at_0.5,recall_default_at_0.5,f1_default_at_0.5,tuned_threshold,accuracy_tuned,precision_default_tuned,recall_default_tuned,f1_default_tuned,balanced_accuracy_tuned,tp_tuned,fp_tuned,tn_tuned,fn_tuned,train_rows,test_rows
LogisticRegression,0.7860861678992703,0.15895871567297862,0.7327749838561337,0.13133781307269396,0.6928034371643395,0.22081478945566588,0.6349999999999998,0.8340410543412324,0.16541176470588234,0.5034013605442177,0.2490038076684672,0.6782790284401901,1406,7094,41216,1387,164543,51103
RandomForest,0.7629142347544646,0.15805840676614846,0.7570005674813611,0.12977921378567583,0.6040100250626567,0.21365248226950356,0.6149999999999998,0.896053069291431,0.18954892777914714,0.2753311851056212,0.22452554744525546,0.6036353710665758,769,3288,45022,2024,164543,51103
GBT,0.7987803067713047,0.17164212258752512,0.7177073753008629,0.13114338258608663,0.740422484783387,0.22282081672233597,0.6799999999999997,0.8594407373344031,0.1820683661645423,0.45005370569280345,0.2592554398267506,0.6665813964191609,1257,5647,42663,1536,164543,51103
