feature,importance
int_rate,2.61390215199963
grade_ord,-1.1048430210606666
int_rate_x_term,0.5045113632555684
bureau_data_missing,0.46997678032319573
sub_grade=B1,0.43078198976852383
sub_grade=A4,0.3620222596956682
sub_grade=B2,0.3549169496900608
sub_grade=A2,0.33036178086345114
sub_grade=A5,0.3197893596139485
sub_grade=A1,0.31289501308662704
term,-0.2960224927954641
sub_grade=A3,0.2951121449167763
sub_grade=E5,-0.25454486400642545
sub_grade=B3,0.24601115855903133
sub_grade=E4,-0.24071794111919234
loan_amnt,-0.2339755188422511
sub_grade=D5,-0.23099575907108386
sub_grade=F1,-0.21845097024932447
sub_grade=F2,-0.20949120337285893
sub_grade=E3,-0.2049511802659089
