emp_length,n,default_rate
6 years,41446,0.0665444192443179
7 years,43204,0.061869271363762614
5 years,53812,0.060952947298000444
n/a,43061,0.060286570214347086
< 1 year,67597,0.05831619746438452
4 years,50643,0.05609857235945738
1 year,54855,0.055765199161425576
9 years,33462,0.05456936226166995
2 years,75986,0.05420735398626063
3 years,67392,0.0539826685660019
8 years,42421,0.05249758374390043
10+ years,282090,0.04788542663688894
