grade,n,default_rate
G,4873,0.1670428893905192
F,21328,0.14126969242310577
E,66448,0.09720382855766915
D,132802,0.08130901643047544
C,236855,0.0548943446412362
B,247998,0.03918176759489996
A,145665,0.018288538770466482
